VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2021-07-01 06:17:09,2021-07-01 06:25:00,N,1,75,42,1,3.63,12,0,0.5,0,0,,0.3,12.8,2,1,0
1,2021-07-01 06:01:27,2021-07-01 06:08:14,N,1,74,75,1,1.90,7.5,0.5,0.5,1.75,0,,0.3,10.55,1,1,0
1,2021-07-01 06:11:32,2021-07-01 06:13:37,N,1,75,74,1,1.00,4.5,0,0.5,0,0,,0.3,5.3,2,1,0
1,2021-07-01 06:21:35,2021-07-01 06:24:22,N,1,74,41,1,.50,4,0,0.5,0,0,,0.3,4.8,4,1,0
1,2021-07-01 06:43:21,2021-07-01 06:50:08,N,1,74,43,1,1.40,7,0,0.5,0,0,,0.3,7.8,2,1,0
1,2021-07-01 06:50:52,2021-07-01 07:00:52,N,1,166,50,1,4.30,14,2.75,0.5,3.5,0,,0.3,21.05,1,1,2.75
2,2021-07-01 06:39:12,2021-07-01 07:27:56,N,1,152,194,1,5.47,32.5,0,0.5,0,6.55,,0.3,39.85,1,1,0
2,2021-07-01 06:02:23,2021-07-01 07:05:53,N,1,23,49,1,20.57,64.5,0,0.5,0,13.1,,0.3,78.4,1,1,0
2,2021-07-01 06:14:29,2021-07-01 06:27:38,N,1,130,132,1,5.71,18,0,0.5,0.01,0,,0.3,18.81,1,1,0
2,2021-07-01 06:21:50,2021-07-01 07:17:03,N,1,191,197,1,10.00,43.5,0,0.5,0,0,,0.3,44.3,1,1,0
2,2021-07-01 06:01:07,2021-07-01 06:01:24,N,2,174,174,2,.06,52,0,0.5,0,0,,0.3,52.8,2,1,0
2,2021-07-01 06:01:51,2021-07-01 06:57:18,N,1,174,197,1,19.73,63.5,0,0.5,0,6.55,,0.3,70.85,1,1,0
2,2021-07-01 06:06:55,2021-07-01 06:37:06,N,2,74,132,6,17.54,52,0,0.5,10,6.55,,0.3,69.35,1,1,0
2,2021-07-01 06:07:26,2021-07-01 06:29:02,N,1,49,49,1,.21,-12,0,-0.5,0,0,,-0.3,-12.8,4,1,0
2,2021-07-01 06:07:26,2021-07-01 06:29:02,N,1,49,49,1,.21,12,0,0.5,0,0,,0.3,12.8,2,1,0
